,Shift Manager Certification,,,
,,,,
,Name: ,Date:,,
,**Upon successful completion of the Mentor Level ,,,
,*Passing score is 90% or higher,Score ,90%,
,,,,
,Menu and Brand Knowledge ,Yes,No,Notes
,When was TGS started? ,FALSE,FALSE,
,What is the TGS mission?,FALSE,FALSE,
,What local food partnerships does TGS have?,FALSE,FALSE,
,What are the different ways someone can order TGS?,FALSE,FALSE,
,Demonstrate the difference between a kids portion and a regular portion.,FALSE,FALSE,
,Demonstrate how to warm up a food item.,FALSE,FALSE,
,What are some quality ques for baked goods and dairy products? ,TRUE,FALSE,
,Explain what FIFO stands for and how to apply it on your shift.,TRUE,FALSE,
,What ice cream flavors are GF?,TRUE,FALSE,
,What DF options are offered?,TRUE,FALSE,
,What is the employee discount and how is it different than a free treat? ,TRUE,FALSE,
,What is the uniform policy?,TRUE,FALSE,
,How do you date product? ,TRUE,FALSE,
,,TRUE,FALSE,
,,TRUE,FALSE,
,,TRUE,FALSE,
,,,,
,Processes and Systems ,Yes,No,Notes
,Where to find all relevant tools and information?,TRUE,FALSE,
,What is the computer password?,TRUE,FALSE,
,"What are the 3 ""daily"" checklists?  ",TRUE,FALSE,
,What items do we inventory daily?,TRUE,FALSE,
,How do you do an AE Dairy order?,TRUE,FALSE,
,When to do a customer refund? How do you refund same day? ,TRUE,FALSE,
,What are the daily opening & closing cash procedures? ,TRUE,FALSE,
,What is the safe code?,TRUE,FALSE,
,What are the steps of action when a SL discovers something not working or broken?,TRUE,FALSE,
,What do you do when a product is deemed not in quality?,TRUE,FALSE,
,What are some examples of theft and what are preventative measures?,TRUE,FALSE,
,What is the procedure for an extreme weather event? ,TRUE,FALSE,
,"Explain what the ""Ops Update"" is and where it is located. ",TRUE,FALSE,
,,,,
,"Able to operate, clean and troubleshoot Equipment ",Yes,No,Notes
,Toast POS,TRUE,FALSE,
,Drive through headsets ,TRUE,FALSE,
,Menu Screens ,TRUE,FALSE,
,Batch Freezer,TRUE,FALSE,
,Ice cream filler,TRUE,FALSE,
,Heat Sealer ,TRUE,FALSE,
,Oven ,TRUE,FALSE,
,Toaster Oven ,TRUE,FALSE,
,Espresso Machine ,TRUE,FALSE,
,Freezers,TRUE,FALSE,
,Dish Washer ,TRUE,FALSE,
,Computer ,TRUE,FALSE,
,3-compartment sink,TRUE,FALSE,
,Breaker box,TRUE,FALSE,
,Drains/plumbing,TRUE,FALSE,
,Internet /Router,TRUE,FALSE,
,Building Power,TRUE,FALSE,
,,,,
,People ,Yes,No,Notes
Role play feedback senarios,Demonstrate how to coach a Scooper in the example verbally provided.,TRUE,FALSE,
,How do you help a Scooper who is having an emotionial moment?,TRUE,FALSE,
,What are the steps to take when a Scooper is not responding or ignoring feedback?,TRUE,FALSE,
,How do you handle an upset customer appropriatley? What is the LAST method?,TRUE,FALSE,
,What are some zero tolerance behavior examples and what actions does a SL need to take when observing some of those behaviors? ,TRUE,FALSE,
,What are Scooper goals? Where do we find them?,TRUE,FALSE,
,What are the 4 steps to train someone on something new? ,TRUE,FALSE,
,What do you do if employee falls ill during their shift?,TRUE,FALSE,
,What is the procedure if there is an injury to an employee?,TRUE,FALSE,
,What is the procedure if there is an injury to a customer? ,TRUE,FALSE,
,Do they demostrate the ability to delegate task appropriatley?,TRUE,FALSE,
,Does the emplyee make sound decisions without waiting for direction in routine senarios?,TRUE,FALSE,
,Does the employee maintain a team focus?,TRUE,FALSE,
,,53,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
